AC,ACE,300
AC,Aceca,433
Acura,CL,365
Acura,CSX,340
Acura,EL,600
Acura,Integra,366
Acura,MDX,1834
Acura,NSX,154
Acura,RDX,596
Acura,RL,439
Acura,RSX,504
Acura,SLX,2552
Acura,TL,393
Acura,TLX,373
Acura,TSX,354
Alfa Romeo,145,1130
Alfa Romeo,146,1225
Alfa Romeo,147,1030
Alfa Romeo,155,509
Alfa Romeo,156,479
Alfa Romeo,159,801
Alfa Romeo,164,499
Alfa Romeo,166,493
Alfa Romeo,33,1232
Alfa Romeo,4C,110
Alfa Romeo,75,498
Alfa Romeo,Brera,610
Alfa Romeo,Giulia,480
Alfa Romeo,Giulietta,749
Alfa Romeo,GT,905
Alfa Romeo,GTV,123
Alfa Romeo,MiTo,610
Alfa Romeo,S.Z./R.Z.,370
Alfa Romeo,Spider,212
Alfa Romeo,Stelvio,1600
Alpina,B10,992
Alpina,B12,392
Alpina,B3,709
Alpina,B4,445
Alpina,B5,1090
Alpina,B6,662
Alpina,B7,500
Alpina,B8,380
Alpina,D10,992
Alpina,D3,872
Alpina,D5,1095
Alpina,Roadster S,260
Alpina,XD3,1600
Alpine,A610,220
Aro,10,600
Aro,Spartana,1440
Asia,Rocsta,470
Aston Martin,DB7,168
Aston Martin,DB9,162
Aston Martin,Lagonda,370
Aston Martin,Rapide,750
Aston Martin,Vanquish,331
Aston Martin,Vantage,267
Aston Martin,Virage,168
Audi,100,1099
Audi,200,1005
Audi,80,672
Audi,90,402
Audi,A1,722
Audi,A2,1085
Audi,A3,961
Audi,A4,1052
Audi,A4 allroad,1457
Audi,A5,860
Audi,A6,1015
Audi,A6 allroad,1647
Audi,A7,1390
Audi,A8,509
Audi,Allroad,1590
Audi,Cabriolet,246
Audi,Coupe,530
Audi,Q2,1050
Audi,Q3,1278
Audi,Q5,1553
Audi,Q7,2045
Audi,Q8,1468
Audi,Quattro,365
Audi,R8,119
Audi,RS 2,650
Audi,RS 3,963
Audi,RS 4,1156
Audi,RS 5,790
Audi,RS 6,1147
Audi,RS 7,1105
Audi,RS Q3,1080
Audi,RS Q8,1755
Audi,S1,870
Audi,S2,696
Audi,S3,790
Audi,S4,988
Audi,S5,755
Audi,S6,1050
Audi,S7,1390
Audi,S8,518
